24-7 Spyz	<http://dbpedia.org/resource/24-7_Spyz>
Josh White	<http://dbpedia.org/resource/Josh_White>
Joss Stone	<http://dbpedia.org/resource/Joss_Stone>
Journey	<http://dbpedia.org/resource/Journey_(band)>
Jovanotti	<http://dbpedia.org/resource/Jovanotti>
Julie Driscoll	<http://dbpedia.org/resource/Julie_Driscoll>
Julie Tippetts	<http://dbpedia.org/resource/Julie_Driscoll>
Kanye West	<http://dbpedia.org/resource/Kanye_West>
Kanye Omari West	<http://dbpedia.org/resource/Kanye_West>
Kara	<http://dbpedia.org/resource/Kara_(band)>
Karl Bartos	<http://dbpedia.org/resource/Karl_Bartos>
Karl Logan	<http://dbpedia.org/resource/Karl_Logan>
Kat DeLuna	<http://dbpedia.org/resource/Kat_DeLuna>
Katarrama	<http://dbpedia.org/resource/Katarrama>
Kate Bush	<http://dbpedia.org/resource/Kate_Bush>
Kate Smith	<http://dbpedia.org/resource/Kate_Smith>
Keith Emerson	<http://dbpedia.org/resource/Keith_Emerson>
Keith Moon	<http://dbpedia.org/resource/Keith_Moon>
Keith Reid	<http://dbpedia.org/resource/Keith_Reid>
Keith Tippett	<http://dbpedia.org/resource/Keith_Tippett>
Keith Urban	<http://dbpedia.org/resource/Keith_Urban>
Keith West	<http://dbpedia.org/resource/Keith_West>
Kellie Dawn Pickler	<http://dbpedia.org/resource/Kellie_Pickler>
Kellie Pickler	<http://dbpedia.org/resource/Kellie_Pickler>
Kent	<http://dbpedia.org/resource/Kent_(band)>
Keri Hilson	<http://dbpedia.org/resource/Keri_Hilson>
Kevin Coyne	<http://dbpedia.org/resource/Kevin_Coyne>
Kevin Moore	<http://dbpedia.org/resource/Kevin_Moore>
Kike Santander	<http://dbpedia.org/resource/Kike_Santander>
Kingfish	<http://dbpedia.org/resource/Kingfish_(band)>
Koop	<http://dbpedia.org/resource/Koop_(band)>
Kula Shaker	<http://dbpedia.org/resource/Kula_Shaker>
Kurt Elling	<http://dbpedia.org/resource/Kurt_Elling>
Lääz Rockit	<http://dbpedia.org/resource/L%C3%A4%C3%A4z_Rockit>
La Fouine	<http://dbpedia.org/resource/La_Fouine>
Lambchop	<http://dbpedia.org/resource/Lambchop_(band)>
Lance Bass	<http://dbpedia.org/resource/Lance_Bass>
Laura Branigan	<http://dbpedia.org/resource/Laura_Branigan>
Laura Nyro	<http://dbpedia.org/resource/Laura_Nyro>
LeToya Luckett	<http://dbpedia.org/resource/LeToya_Luckett>
LeToya Nicole Luckett	<http://dbpedia.org/resource/LeToya_Luckett>
Lee Konitz	<http://dbpedia.org/resource/Lee_Konitz>
Lena Horne	<http://dbpedia.org/resource/Lena_Horne>
Levon Helm	<http://dbpedia.org/resource/Levon_Helm>
Mark Lavon Helm	<http://dbpedia.org/resource/Levon_Helm>
Lhasa de Sela	<http://dbpedia.org/resource/Lhasa_de_Sela>
Lhasa De Sela	<http://dbpedia.org/resource/Lhasa_de_Sela>
Liberty X	<http://dbpedia.org/resource/Liberty_X>
Lily Allen	<http://dbpedia.org/resource/Lily_Allen>
Lisa Batiashvili	<http://dbpedia.org/resource/Lisa_Batiashvili>
Lise Darly	<http://dbpedia.org/resource/Lise_Darly>
Iron Maiden	<http://dbpedia.org/resource/List_of_Iron_Maiden_band_members>
Little Walter	<http://dbpedia.org/resource/Little_Walter>
Marion Walter Jacobs	<http://dbpedia.org/resource/Little_Walter>
Lloyd	<http://dbpedia.org/resource/Lloyd_(singer)>
Lords of Acid	<http://dbpedia.org/resource/Lords_of_Acid>
Los Chicos	<http://dbpedia.org/resource/Los_Chicos>
Lost Dogs	<http://dbpedia.org/resource/Lost_Dogs>
Lys Assia	<http://dbpedia.org/resource/Lys_Assia>
Lyudmila Zykina	<http://dbpedia.org/resource/Lyudmila_Zykina>
MIA	<http://dbpedia.org/resource/M.I.A._(artist)>
Mia	<http://dbpedia.org/resource/M.I.A._(artist)>
MC Hammer	<http://dbpedia.org/resource/MC_Hammer>
Ma Rainey	<http://dbpedia.org/resource/Ma_Rainey>
Madredeus	<http://dbpedia.org/resource/Madredeus>
Magda Tagliaferro	<http://dbpedia.org/resource/Magda_Tagliaferro>
Maggotron	<http://dbpedia.org/resource/Maggotron>
Magma	<http://dbpedia.org/resource/Magma_(band)>
Magnum	<http://dbpedia.org/resource/Magnum_(band)>
Magnus Uggla	<http://dbpedia.org/resource/Magnus_Uggla>
Mahotella Queens	<http://dbpedia.org/resource/Mahotella_Queens>
Marcos Hernandez	<http://dbpedia.org/resource/Marcos_Hernandez_(singer)>
Maria Rita	<http://dbpedia.org/resource/Maria_Rita>
Mariah Carey	<http://dbpedia.org/resource/Mariah_Carey>
Maribelle	<http://dbpedia.org/resource/Maribelle>
Marika Gombitova	<http://dbpedia.org/resource/Marika_Gombitov%C3%A1>
Marillion	<http://dbpedia.org/resource/Marillion>
Mark Egan	<http://dbpedia.org/resource/Mark_Egan>
Mark Feldman	<http://dbpedia.org/resource/Mark_Feldman>
Mark Kelly	<http://dbpedia.org/resource/Mark_Kelly_(keyboardist)>
Mark Colbert Kelly	<http://dbpedia.org/resource/Mark_Kelly_(keyboardist)>
Mark Lanegan	<http://dbpedia.org/resource/Mark_Lanegan>
Mark Reale	<http://dbpedia.org/resource/Mark_Reale>
Mark Tulin	<http://dbpedia.org/resource/Mark_Tulin>
Mark Wills	<http://dbpedia.org/resource/Mark_Wills>
Martie Maguire	<http://dbpedia.org/resource/Martie_Maguire>
Master	<http://dbpedia.org/resource/Master_(American_band)>
Mathis Mootz	<http://dbpedia.org/resource/Mathis_Mootz>
Max Martin	<http://dbpedia.org/resource/Max_Martin>
Max Raabe	<http://dbpedia.org/resource/Max_Raabe>
Maynard James Keenan	<http://dbpedia.org/resource/Maynard_James_Keenan>
Mel Galley	<http://dbpedia.org/resource/Mel_Galley>
Mel Gaynor	<http://dbpedia.org/resource/Mel_Gaynor>
Mercer Ellington	<http://dbpedia.org/resource/Mercer_Ellington>
Meshuggah	<http://dbpedia.org/resource/Meshuggah>
Metal Church	<http://dbpedia.org/resource/Metal_Church>
Michael Cretu	<http://dbpedia.org/resource/Michael_Cretu>
Michal David	<http://dbpedia.org/resource/Michal_David>
Michel Sardou	<http://dbpedia.org/resource/Michel_Sardou>
Mick Abrahams	<http://dbpedia.org/resource/Mick_Abrahams>
Mickey Roker	<http://dbpedia.org/resource/Mickey_Roker>
Midnight Oil	<http://dbpedia.org/resource/Midnight_Oil>
Mighty Joe Young	<http://dbpedia.org/resource/Mighty_Joe_Young_(musician)>
Mike Botts	<http://dbpedia.org/resource/Mike_Botts>
Mike Dred	<http://dbpedia.org/resource/Mike_Dred>
Mike Terrana	<http://dbpedia.org/resource/Mike_Terrana>
Milton Brown	<http://dbpedia.org/resource/Milton_Brown>
Mindy McCready	<http://dbpedia.org/resource/Mindy_McCready>
Minnie Riperton	<http://dbpedia.org/resource/Minnie_Riperton>
Miranda Lambert	<http://dbpedia.org/resource/Miranda_Lambert>
Mississippi John Hurt	<http://dbpedia.org/resource/Mississippi_John_Hurt>
John Smith Hurt	<http://dbpedia.org/resource/Mississippi_John_Hurt>
Mobb Deep	<http://dbpedia.org/resource/Mobb_Deep>
Mortification	<http://dbpedia.org/resource/Mortification_(band)>
Mousey Alexander	<http://dbpedia.org/resource/Mousey_Alexander>
Mr Bungle	<http://dbpedia.org/resource/Mr._Bungle>
Muggsy Spanier	<http://dbpedia.org/resource/Muggsy_Spanier>
Nancy Sinatra	<http://dbpedia.org/resource/Nancy_Sinatra>
Natalie Louise Maines	<http://dbpedia.org/resource/Natalie_Maines>
Natalie Maines	<http://dbpedia.org/resource/Natalie_Maines>
Neil Peart	<http://dbpedia.org/resource/Neil_Peart>
Nevio Passaro	<http://dbpedia.org/resource/Nevio_Passaro>
Nickelback	<http://dbpedia.org/resource/Nickelback>
Niels van Gogh	<http://dbpedia.org/resource/Niels_van_Gogh>
Niels Van Gogh	<http://dbpedia.org/resource/Niels_van_Gogh>
Nikki Sixx	<http://dbpedia.org/resource/Nikki_Sixx>
Niko Hurme	<http://dbpedia.org/resource/Niko_Hurme>
None More Black	<http://dbpedia.org/resource/None_More_Black>
Noor Jahan	<http://dbpedia.org/resource/Noor_Jehan>
OSI	<http://dbpedia.org/resource/OSI_(band)>
Odean Pope	<http://dbpedia.org/resource/Odean_Pope>
Oi Polloi	<http://dbpedia.org/resource/Oi_Polloi>
Oliver Hartmann	<http://dbpedia.org/resource/Oliver_Hartmann>
Olly Murs	<http://dbpedia.org/resource/Olly_Murs>
Omar Hakim	<http://dbpedia.org/resource/Omar_Hakim>
Oscar Dronjak	<http://dbpedia.org/resource/Oscar_Dronjak>
Outlaws	<http://dbpedia.org/resource/Outlaws_(band)>
Overkill	<http://dbpedia.org/resource/Overkill_(band)>
PJ Harvey	<http://dbpedia.org/resource/PJ_Harvey>
Pam Tillis	<http://dbpedia.org/resource/Pam_Tillis>
Pat Boone	<http://dbpedia.org/resource/Pat_Boone>
Patrick Stump	<http://dbpedia.org/resource/Patrick_Stump>
Patti LaBelle	<http://dbpedia.org/resource/Patti_LaBelle>
Patti Labelle	<http://dbpedia.org/resource/Patti_LaBelle>
Patti Page	<http://dbpedia.org/resource/Patti_Page>
Paul Janz	<http://dbpedia.org/resource/Paul_Janz>
Paul Kelly	<http://dbpedia.org/resource/Paul_Kelly_(musician)>
Paul Maurice Kelly	<http://dbpedia.org/resource/Paul_Kelly_(musician)>
Paul Morris	<http://dbpedia.org/resource/Paul_Morris_(musician)>
